Gene_id	T14A	T0A	T0B	T14B
MSTRG.10586	0	0	0	0
MSTRG.10587	0	0	0	0
MSTRG.10588	0	0	0	0
MSTRG.10589	0	0	0	0
MSTRG.1059	0	0	0	0
MSTRG.10590	0	0	0	0
MSTRG.10591	0	0	0	0
MSTRG.10592	0	0	0	0
MSTRG.10593	0	0	0	0
MSTRG.10594	0	0	0	0
MSTRG.10595	0	0	0	0
MSTRG.10596	0	0	0	0
MSTRG.10597	0	0	0	0
MSTRG.10598	0	0	0	0
MSTRG.10599	0	0	0	0
MSTRG.106	0	0	0	0
MSTRG.1060	0	0	0	0
MSTRG.10600	0	0	0	0
MSTRG.10601	0	0	0	0
MSTRG.10602	0	0	0	0
MSTRG.10603	0	0	0	0
MSTRG.10604	0	0	0	0
MSTRG.10605	0	0	0	0
MSTRG.10606	0	0	0	0
MSTRG.10607	0	0	0	0
MSTRG.10608	0	0	0	0
MSTRG.10609	0	0	0	0
MSTRG.1061	0	0	0	0
MSTRG.10610	0	0	0	0
MSTRG.10611	0	0	0	0
MSTRG.10612	0	0	0	0
MSTRG.10613	0	0	0	0
MSTRG.10614	0	0	0	0
MSTRG.10615	0	0	0	0
MSTRG.10616	0	0	0	0
MSTRG.10617	0	0	0	0
MSTRG.10618	0	0	0	0
MSTRG.10619	0	0	0	0
MSTRG.1062	0	0	0	0
MSTRG.10620	0	0	0	0
MSTRG.10621	0	0	0	0
MSTRG.10622	0	0	0	0
MSTRG.10623	0	0	0	0
MSTRG.10624	0	0	0	0
MSTRG.10625	0	0	0	0
MSTRG.10626	0	0	0	0
MSTRG.10627	0	0	0	0
MSTRG.10628	0	0	0	0
MSTRG.10629	0	0	0	0
MSTRG.1063	0	0	0	0
MSTRG.10630	0	0	0	0
MSTRG.10631	0	0	0	0
MSTRG.10632	0	0	0	0
MSTRG.10633	0	0	0	0
MSTRG.10634	0	0	0	0
MSTRG.10635	0	0	0	0
MSTRG.10636	0	0	0	0
MSTRG.10637	0	0	0	0
MSTRG.10638	0	0	0	0
MSTRG.10639	0	0	0	0
MSTRG.1064	0	0	0	0
MSTRG.10640	0	0	0	0
MSTRG.10641	0	0	0	0
MSTRG.10642	0	0	0	0
MSTRG.10643	0	0	0	0
MSTRG.10644	0	0	0	0
MSTRG.10645	0	0	0	0
MSTRG.10646	0	0	0	0
MSTRG.10647	0	0	0	0
MSTRG.10648	0	0	0	0
MSTRG.10649	0	0	0	0
MSTRG.1065	0	0	0	0
MSTRG.10650	0	0	0	0
MSTRG.10651	0	0	0	0
MSTRG.10652	0	0	0	0
MSTRG.10653	0	0	0	0
MSTRG.10654	0	0	0	0
MSTRG.10655	0	0	0	0
MSTRG.10656	0	0	0	0
MSTRG.10657	0	0	0	0
MSTRG.10658	0	0	0	0
MSTRG.10659	0	0	0	0
MSTRG.1066	0	0	0	0
MSTRG.10660	0	0	0	0
MSTRG.10661	0	0	0	0
MSTRG.10662	0	0	0	0
MSTRG.10663	0	0	0	0
MSTRG.10664	0	0	0	0
MSTRG.10665	0	0	0	0
MSTRG.10666	0	0	0	0
MSTRG.10667	0	0	0	0
MSTRG.10668	0	0	0	0
MSTRG.10669	0	0	0	0
MSTRG.1067	0	0	0	0
MSTRG.10670	0	0	0	0
MSTRG.10671	0	0	0	0
MSTRG.10672	0	0	0	0
MSTRG.10673	0	0	0	0
MSTRG.10674	0	0	0	0
MSTRG.10675	0	0	0	0
MSTRG.10676	0	0	0	0
MSTRG.10677	0	0	0	0
MSTRG.10678	0	0	0	0
MSTRG.10679	0	0	0	0
MSTRG.1068	0	0	0	0
MSTRG.10680	0	0	0	0
MSTRG.10681	0	0	0	0
MSTRG.10682	0	0	0	0
MSTRG.10683	0	0	0	0
MSTRG.10684	0	0	0	0
MSTRG.10685	0	0	0	0
MSTRG.10686	0	0	0	0
MSTRG.10687	0	0	0	0
MSTRG.10688	0	0	0	0
MSTRG.10689	0	0	0	0
MSTRG.1069	0	0	0	0
MSTRG.10690	0	0	0	0
MSTRG.10691	0	0	0	0
MSTRG.10692	0	0	0	0
MSTRG.10693	0	0	0	0
MSTRG.10694	0	0	0	0
MSTRG.10695	0	0	0	0
MSTRG.10696	0	0	0	0
MSTRG.10697	0	0	0	0
MSTRG.10698	0	0	0	0
MSTRG.10699	0	0	0	0
MSTRG.107	0	0	0	0
MSTRG.1070	0	0	0	0
MSTRG.10700	0	0	0	0
MSTRG.10701	0	0	0	0
